Urban,YearBuilt,TrafficLanes,ADT,YEAR_ADT,ApproachWidth_M,StructureLength_M,RoadwayWidth_M,DECK_WIDTH_M,YEAR_RECON,AADTPERCENT,DeckArea_SQM,Latitude,Longitude,PPTIN,TMAXC,TMINC,SeismicHazard,BridgeCond
0,2000,2,40,2013,9.8,9.1,17.1,18,0,7,159.25,31.0517,-105.35481,10.0352,25.2971,8.04388,0.15125,S
0,1965,4,14170,2013,24.4,11.9,0,0,0,37,290.36,31.07368,-105.11406,10.3585,24.961,7.48551,0.13849,S
0,1933,2,4600,2014,11,6.1,0,0,0,15,67.1,33.55232,-94.10341,89.3456,23.9654,11.0506,0.08508,S
0,1987,2,1400,2014,12.2,9.1,0,0,0,1,111.02,33.50561,-94.05023,91.8971,23.8515,11.1511,0.08493,S
0,1940,2,2200,2016,7.9,7,9.1,10,0,25,69.3,33.4646,-94.47591,78.6959,23.6798,11.2316,0.07805,S
0,1946,2,100,2016,6.1,15.2,6.1,7,0,15,103.36,33.47227,-94.49451,79.1565,23.6718,11.2194,0.07801,S
0,1955,2,930,2016,7.9,7,0,0,0,16,55.3,33.46498,-94.34229,80.046,23.7394,11.3623,0.07961,S
0,1956,2,810,2016,7.9,19.5,0,0,0,16,154.05,33.44094,-94.3029,82.4595,23.7481,11.4621,0.0796,S
0,1957,2,100,2016,6.7,6.4,11,12,0,15,74.24,33.55299,-96.15037,66.7545,23.479,11.282,0.08258,S
0,1961,2,100,2016,9.1,10.4,9.8,10,0,15,108.16,33.44223,-94.38319,78.9722,23.7596,11.2399,0.07863,S
0,1956,2,320,2013,7.3,8.2,0,0,1990,20,59.86,33.24402,-95.51306,73.8986,23.7715,11.5178,0.06962,U
0,2014,2,70,2010,7.3,8.2,7.5,8,0,0,64.78,33.26218,-95.35178,73.6536,24.0032,11.314,0.07,S
0,1938,2,2480,2013,9.1,7,0,0,0,28,63.7,33.33209,-96.10344,65.842,23.8559,11.4762,0.07354,S
0,1960,2,470,2013,6.7,6.7,9.1,13,0,10,84.42,33.3354,-96.04564,66.1187,23.8642,11.3997,0.0735,U
0,1963,2,390,2013,6.1,6.4,0,0,0,10,39.04,33.34465,-96.21279,65.5215,23.5925,11.6884,0.07435,S
1,1960,2,500,2010,6.4,6.4,9.1,13,0,0,83.2,33.37001,-96.11172,65.9282,23.6874,11.5512,0.07495,U
1,1971,8,23500,2013,39.6,7.3,0,0,0,2,289.08,33.4016,-96.38107,65.6318,23.5243,11.7623,0.07674,S
